seed,source,target,eligible,source_success,target_failure,both,failed_source_target_failure,source_failure,pair_source_asr_percent,ptr_percent,ctr_percent,failed_source_target_error_percent
0,resnet18,vgg16,8905,8381,573,573,0,524,94.11566535654127,6.434587310499719,6.8368929721990215,0.0
0,resnet18,mobilenet_v2,8831,8307,1902,1901,1,524,94.06635715094554,21.537764692560298,22.884314433610207,0.19083969465648853
0,vgg16,resnet18,8905,6457,1371,1355,16,2448,72.50982594048287,15.395845030881528,20.98497754375097,0.6535947712418301
0,vgg16,mobilenet_v2,8583,6139,1962,1889,73,2444,71.52510777117558,22.859140160782943,30.770483792148557,2.9869067103109654
0,mobilenet_v2,resnet18,8831,8822,888,888,0,9,99.89808628694372,10.055486354886197,10.065744729086374,0.0
0,mobilenet_v2,vgg16,8583,8574,413,413,0,9,99.89514155889549,4.81183735290691,4.816888266853278,0.0
1,resnet18,vgg16,8874,8318,501,501,0,556,93.73450529637142,5.645706558485463,6.023082471748016,0.0
1,resnet18,mobilenet_v2,8894,8339,1923,1921,2,555,93.75983809309648,21.621317742298178,23.03633529200144,0.36036036036036034
1,vgg16,resnet18,8874,6257,1409,1384,25,2617,70.50935316655398,15.877845391029973,22.11922646635768,0.9552923194497517
1,vgg16,mobilenet_v2,8589,5976,2021,1948,73,2613,69.57736639888229,23.53009663523111,32.59705488621151,2.793723689246077
1,mobilenet_v2,resnet18,8894,8879,990,990,0,15,99.8313469754891,11.131099617719812,11.149904268498705,0.0
1,mobilenet_v2,vgg16,8589,8574,377,377,0,15,99.82535801606707,4.389335196181162,4.397014229064614,0.0
2,resnet18,vgg16,8923,8424,485,485,0,499,94.40771041129665,5.435391684411073,5.7573599240265905,0.0
2,resnet18,mobilenet_v2,8873,8374,1923,1922,1,499,94.37619745294714,21.67248957511552,22.951994267972296,0.2004008016032064
2,vgg16,resnet18,8923,6303,1344,1333,11,2620,70.63767791101647,15.062198812058725,21.148659368554657,0.41984732824427484
2,vgg16,mobilenet_v2,8620,6003,2025,1954,71,2617,69.64037122969837,23.49187935034803,32.5503914709312,2.713030187237295
2,mobilenet_v2,resnet18,8873,8857,992,992,0,16,99.819677673842,11.179984221796461,11.20018064807497,0.0
2,mobilenet_v2,vgg16,8620,8604,399,399,0,16,99.81438515081207,4.6287703016241295,4.637377963737797,0.0
