budget_over_255,attack,seed,source,target,source_asr_percent,source_asr_numerator,source_asr_denominator,ptr_percent,ptr_numerator,ptr_denominator,ctr_percent,ctr_numerator,ctr_denominator
2,noise,0,resnet18,resnet18,0.3679949532120702,35,9511,0.3679949532120702,35,9511,100.0,35,35
2,noise,0,resnet18,vgg16,0.3679949532120702,35,9511,0.3256597417181359,29,8905,0.0,0,18
2,noise,0,resnet18,mobilenet_v2,0.3679949532120702,35,9511,0.6567772619182425,58,8831,11.76470588235294,2,17
2,noise,0,vgg16,resnet18,0.23181366596754607,21,9059,0.15721504772599665,14,8905,0.0,0,19
2,noise,0,vgg16,vgg16,0.23181366596754607,21,9059,0.23181366596754607,21,9059,100.0,21,21
2,noise,0,vgg16,mobilenet_v2,0.23181366596754607,21,9059,0.7107072119305604,61,8583,13.333333333333334,2,15
2,noise,0,mobilenet_v2,resnet18,0.8336112037345782,75,8997,0.1925036802174159,17,8831,0.0,0,62
2,noise,0,mobilenet_v2,vgg16,0.8336112037345782,75,8997,0.2330187580100198,20,8583,1.7241379310344827,1,58
2,noise,0,mobilenet_v2,mobilenet_v2,0.8336112037345782,75,8997,0.8336112037345782,75,8997,100.0,75,75
2,fgsm,0,resnet18,resnet18,39.47008726737462,3754,9511,39.47008726737462,3754,9511,100.0,3754,3754
2,fgsm,0,resnet18,vgg16,39.47008726737462,3754,9511,7.231892195395845,644,8905,18.940106616494198,604,3189
2,fgsm,0,resnet18,mobilenet_v2,39.47008726737462,3754,9511,15.63809308119126,1381,8831,38.336,1198,3125
2,fgsm,0,vgg16,resnet18,52.68793465062369,4773,9059,10.926445816956766,973,8905,20.33751622674167,940,4622
2,fgsm,0,vgg16,vgg16,52.68793465062369,4773,9059,52.68793465062369,4773,9059,100.0,4773,4773
2,fgsm,0,vgg16,mobilenet_v2,52.68793465062369,4773,9059,18.01234999417453,1546,8583,32.199074074074076,1391,4320
2,fgsm,0,mobilenet_v2,resnet18,80.46015338446149,7239,8997,8.221039519873175,726,8831,10.219081272084805,723,7075
2,fgsm,0,mobilenet_v2,vgg16,80.46015338446149,7239,8997,5.184667365722941,445,8583,6.488940969679215,443,6827
2,fgsm,0,mobilenet_v2,mobilenet_v2,80.46015338446149,7239,8997,80.46015338446149,7239,8997,100.0,7239,7239
2,pgd,0,resnet18,resnet18,94.4905898433393,8987,9511,94.4905898433393,8987,9511,100.0,8987,8987
