budget_over_255,seed,source,target,baseline_ptr_percent,strong_ptr_percent,difference_points
8,0,resnet18,vgg16,19.382369455362156,18.326782706344748,-1.0555867490174065
8,0,resnet18,mobilenet_v2,71.75857773751557,71.2037141886536,-0.5548635488619613
8,0,vgg16,resnet18,92.99270072992701,93.307130825379,0.31443009545200074
8,0,vgg16,mobilenet_v2,94.80368169637656,94.97844576488407,0.1747640685075158
8,0,mobilenet_v2,resnet18,63.4582719963764,64.97565394632544,1.517381949949037
8,0,mobilenet_v2,vgg16,25.725270884306184,25.224280554584645,-0.5009903297215401
8,1,resnet18,vgg16,18.154158215010142,17.196303808879872,-0.957854406130268
8,1,resnet18,mobilenet_v2,72.3184169102766,71.87991904654824,-0.43849786372835986
8,1,vgg16,resnet18,92.81045751633987,92.83299526707235,0.022537750732476436
8,1,vgg16,mobilenet_v2,95.61066480381884,95.63395040167656,0.023285597857725104
8,1,mobilenet_v2,resnet18,68.74297279064537,70.3283112210479,1.5853384304025275
8,1,mobilenet_v2,vgg16,25.81208522528816,27.046221911747587,1.234136686459425
8,2,resnet18,vgg16,16.732040793455116,15.667376442900368,-1.0646643505547475
8,2,resnet18,mobilenet_v2,72.72624816860137,72.64735715090724,-0.0788910176941271
8,2,vgg16,resnet18,92.40165863498824,92.95080130001121,0.5491426650229725
8,2,vgg16,mobilenet_v2,95.2784222737819,95.66125290023201,0.3828306264501147
8,2,mobilenet_v2,resnet18,70.60746083624478,72.30925278936098,1.701791953116194
8,2,mobilenet_v2,vgg16,26.2877030162413,26.937354988399072,0.649651972157772
2,0,resnet18,vgg16,6.434587310499719,6.198764738910724,-0.2358225715889943
2,0,resnet18,mobilenet_v2,21.537764692560298,21.288642282867173,-0.2491224096931255
2,0,vgg16,resnet18,15.395845030881528,15.564289724873667,0.16844469399213968
2,0,vgg16,mobilenet_v2,22.859140160782943,23.127111732494466,0.26797157171152275
2,0,mobilenet_v2,resnet18,10.055486354886197,9.930925150039634,-0.12456120484656275
2,0,mobilenet_v2,vgg16,4.81183735290691,4.578818594896889,-0.23301875801002014
