paper_id,source,target,attack,clean_accuracy_percent,clean_error_percent,reported_unconditional_attacked_error_percent,newly_induced_error_lower_bound_percent,evidence
a9682a89b2fef793507c365a577f1521745db96c,ResNet V2,Inception V3,FGSM,96.4,3.6,43.7,40.1,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,ResNet V2,Inception V4,FGSM,97.6,2.4,35.2,32.8,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,ResNet V2,Inception-ResNet V2,FGSM,100.0,0.0,33.2,33.2,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,ResNet V2,Ensemble,FGSM,99.8,0.2,36.9,36.7,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,ResNet V2,Inception V3,BIM,96.4,3.6,46.8,43.2,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,ResNet V2,Inception V4,BIM,97.6,2.4,38.0,35.6,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,ResNet V2,Inception-ResNet V2,BIM,100.0,0.0,36.2,36.2,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,ResNet V2,Ensemble,BIM,99.8,0.2,45.7,45.5,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,ResNet V2,Inception V3,C&W,96.4,3.6,5.5,1.9,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,ResNet V2,Inception V4,C&W,97.6,2.4,3.6,1.2,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,ResNet V2,Inception-ResNet V2,C&W,100.0,0.0,1.5,1.5,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,ResNet V2,Ensemble,C&W,99.8,0.2,1.5,1.3,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,ResNet V2,Inception V3,JSMA,96.4,3.6,40.7,37.1,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,ResNet V2,Inception V4,JSMA,97.6,2.4,34.8,32.4,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,ResNet V2,Inception-ResNet V2,JSMA,100.0,0.0,37.9,37.9,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,ResNet V2,Ensemble,JSMA,99.8,0.2,35.6,35.4,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,ResNet V2,Inception V3,TAP,96.4,3.6,48.8,45.2,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,ResNet V2,Inception V4,TAP,97.6,2.4,39.9,37.5,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,ResNet V2,Inception-ResNet V2,TAP,100.0,0.0,44.5,44.5,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,ResNet V2,Ensemble,TAP,99.8,0.2,49.7,49.5,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,ResNet V2,Inception V3,ATA,96.4,3.6,47.1,43.5,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,ResNet V2,Inception V4,ATA,97.6,2.4,41.7,39.3,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,ResNet V2,Inception-ResNet V2,ATA,100.0,0.0,44.9,44.9,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,ResNet V2,Ensemble,ATA,99.8,0.2,50.6,50.4,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V3,ResNet V2,FGSM,89.6,10.4,34.3,23.9,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V3,Inception V4,FGSM,97.6,2.4,29.8,27.4,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V3,Inception-ResNet V2,FGSM,100.0,0.0,27.1,27.1,"Table 1, accuracy of undefended models under attacks"
a9682a89b2fef793507c365a577f1521745db96c,Inception V3,Ensemble,FGSM,99.8,0.2,23.8,23.6,"Table 1, accuracy of undefended models under attacks"
