paper_id,rank,title,arxiv,doi,clean_accuracy_source_target_separate,transfer_denominator_clean_correct,conditions_on_source_attack_success,reports_absolute_counts,numeric_linf_or_l2_budget,artifacts_sufficient_to_recompute,evidence
44d43bfbd23d55b1e7c4c4fd91fe101c0eaf1a06,3,Evading Defenses to Transferable Adversarial Examples by Translation-Invariant Attacks,1904.02884,10.1109/CVPR.2019.00444,,,,,,,
fb0568dcb546bbb4d7d1ed71ce395f4b66691003,4,Nesterov Accelerated Gradient and Scale Invariance for Adversarial Attacks,1908.06281,,,,,,,,
17293cd36ee5e7ec37dcec1d5ab85f9b77ad65d5,8,Do Adversarially Robust ImageNet Models Transfer Better?,2007.08489,,,,,,,,
8bac2716cd208cb8041650a001ab72ba81b559cd,9,Why Do Adversarial Attacks Transfer? Explaining Transferability of Evasion and Poisoning Attacks,,,,,,,,,
8ecdbfe011b7189fa0ee49ffc4e42a93d728a371,12,On Evaluating Adversarial Robustness of Large Vision-Language Models,2305.16934,10.48550/arXiv.2305.16934,,,,,,,
2fb43a4c5cab8215d510fc585ca81fb5ee8a3abb,13,Skip Connections Matter: On the Transferability of Adversarial Examples Generated with ResNets,2002.05990,,,,,,,,
7610bcc3444c824a25f5c3779c097a9bdd4c185a,18,A Survey on Safety-Critical Driving Scenario Generation—A Methodological Perspective,2202.02215,10.1109/TITS.2023.3259322,,,,,,,
4d548fd21aad60e3052455e22b7a57cc1f06e3c3,36,CloudLeak: Large-Scale Deep Learning Models Stealing Through Adversarial Examples,,10.14722/ndss.2020.24178,,,,,,,
54c15364b5873e39257c221112fdf22299ed9e8a,41,Towards Large Yet Imperceptible Adversarial Image Perturbations With Perceptual Color Distance,1911.02466,10.1109/CVPR42600.2020.00112,,,,,,,
ccc39584c2bbabc190aff1e7fce888590633850f,44,On Success and Simplicity: A Second Look at Transferable Targeted Attacks,2012.11207,,,,,,,,
e1be974b7e1e7a381719d5c250ced83f3a6b96ee,45,Disrupting Deepfakes: Adversarial Attacks Against Conditional Image Translation Networks and Facial Manipulation Systems,2003.01279,10.1007/978-3-030-66823-5_14,,,,,,,
09812e529903ff67c5fc5f1dcb2b3586eb3ffd23,50,Is LLM-as-a-Judge Robust? Investigating Universal Adversarial Attacks on Zero-shot LLM Assessment,2402.14016,10.48550/arXiv.2402.14016,,,,,,,
f5014e34ed13191082cd20cc279ca4cc9adee84f,52,Stealing Neural Networks via Timing Side Channels,1812.11720,,,,,,,,
fda5f4facce9d5567c090d7ac733158e0fe93dc7,55,DEEPSEC: A Uniform Platform for Security Analysis of Deep Learning Model,,10.1109/SP.2019.00023,,,,,,,
94b94c545cbb90e2d1ab316758a910c53ed95b66,69,Rethinking Model Ensemble in Transfer-based Adversarial Attacks,2303.09105,10.48550/arXiv.2303.09105,,,,,,,
16a8e329c06b4c6f61762da7fa77a84bf3e12dca,72,"Model Extraction and Adversarial Transferability, Your BERT is Vulnerable!",2103.10013,10.18653/V1/2021.NAACL-MAIN.161,,,,,,,
