paper_id,title,venue,year,citations,clean_accuracy_source_target_separate,transfer_denominator_clean_correct,conditions_on_source_attack_success,reports_absolute_counts,numeric_linf_or_l2_budget,artifacts_sufficient_to_recompute,evidence
4637f79ddfaf923ce569996ffa5b6cda1996faa1,Jailbreaking Black Box Large Language Models in Twenty Queries,2025 IEEE Conference on Secure and Trustworthy Machine Learning (SaTML),2023,1700,unclear,unclear,unclear,unclear,unclear,unclear,f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=not located in full text or linked supplement; coded unclear under the silence rule | f5=not located in full text or linked supplement; coded unclear under the silence rule | f6=not located in full text or linked supplement; coded unclear under the silence rule
f78a911f516625d6b7b76a9a33c1eb14613341c4,Improving Transferability of Adversarial Examples With Input Diversity,Computer Vision and Pattern Recognition,2018,1506,unclear,yes,unclear,no,yes,unclear,"f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=full-text adjudication; no uniquely numbered table or section states the criterion | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=p. 1: Transferability of Adversarial Examples with Input Diversity Cihang Xie1 Zhishuai Zhang1 Yuyin Zhou1 Song Bai2 Jianyu Wang3 Zhou Ren4 Alan Yuille1 1Jo | f5=1. Introduction: ϵ = 15. From the ﬁrst row to the the third row, we plot the top-5 conﬁdence distributions of clean images, FGSM and I-FGSM, respectively. The fourth r | f6=not located in full text or linked supplement; coded unclear under the silence rule"
44d43bfbd23d55b1e7c4c4fd91fe101c0eaf1a06,Evading Defenses to Transferable Adversarial Examples by Translation-Invariant Attacks,Computer Vision and Pattern Recognition,2019,1151,unclear,unclear,unclear,no,yes,unclear,"f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=p. 1: transferability, making black-box at- tacks feasible in real-world applications. Due to the threat of adversarial attacks, many methods have been prop | f5=3. Methodology: L∞norm as the measurement. For adversarial exam- ple generation, the objective is to maximize the loss func- tion J(xadv, y) of the classiﬁer, where J | f6=not located in full text or linked supplement; coded unclear under the silence rule"
fb0568dcb546bbb4d7d1ed71ce395f4b66691003,Nesterov Accelerated Gradient and Scale Invariance for Adversarial Attacks,International Conference on Learning Representations,2019,831,unclear,unclear,unclear,no,yes,yes,"f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=p. 1: transferability to attack other defense models. In this work, from the perspective of regarding the adversar- ial example generation as an optimizatio | f5=2.2 ATTACK METHODS: L∞norm bound. Iterative Fast Gradient Sign Method (I-FGSM). Kurakin et al. (2016) extend FGSM to an iterative version by applying FGSM with a small st | f6=4 EXPERIMENTAL RESULTS: github.com/JHL-HUST/SI-NI-FGSM. 5 === PAGE 6 === Published as a conference paper at ICLR 2020 Algorithm 1 SI-NI-FGSM Input: A clean example x with g"
7301d58eb8a750e44b7da5ab0266b134d1651237,Enhancing the Transferability of Adversarial Attacks through Variance Tuning,Computer Vision and Pattern Recognition,2021,607,unclear,unclear,unclear,no,yes,yes,"f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=p. 1: Transferability of Adversarial Attacks through Variance Tuning Xiaosen Wang Kun He * School of Computer Science and Technology, Huazhong University of | f5=1. Introduction: ϵ = 16. VMI-FGSM and VNI-FGSM generate visually similar adversaries as other attacks but lead to much higher transferability. also exhibit good transf | f6=p. 1: github.com/JHL-HUST/VT. 1. Introduction Deep Neural Networks (DNNs) are known to be vulnera- ble to adversarial examples [31, 8], which are indistingu"
4582e2350e4822834dcf266522690722dd4430d4,PRADA: Protecting Against DNN Model Stealing Attacks,European Symposium on Security and Privacy,2018,542,unclear,unclear,unclear,unclear,unclear,unclear,f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=not located in full text or linked supplement; coded unclear under the silence rule | f5=not located in full text or linked supplement; coded unclear under the silence rule | f6=not located in full text or linked supplement; coded unclear under the silence rule
676e40050453ddeb1387f8314478c0ac3681a8c6,Improving Adversarial Robustness via Promoting Ensemble Diversity,International Conference on Machine Learning,2019,520,unclear,unclear,unclear,unclear,unclear,unclear,f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=not located in full text or linked supplement; coded unclear under the silence rule | f5=not located in full text or linked supplement; coded unclear under the silence rule | f6=not located in full text or linked supplement; coded unclear under the silence rule
17293cd36ee5e7ec37dcec1d5ab85f9b77ad65d5,Do Adversarially Robust ImageNet Models Transfer Better?,Neural Information Processing Systems,2020,501,unclear,unclear,unclear,unclear,unclear,unclear,f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=not located in full text or linked supplement; coded unclear under the silence rule | f5=not located in full text or linked supplement; coded unclear under the silence rule | f6=not located in full text or linked supplement; coded unclear under the silence rule
8bac2716cd208cb8041650a001ab72ba81b559cd,Why Do Adversarial Attacks Transfer? Explaining Transferability of Evasion and Poisoning Attacks,USENIX Security Symposium,2018,494,unclear,unclear,unclear,no,yes,unclear,"f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=p. 1: Transferability of Evasion and Poisoning Attacks Ambra Demontis†, Marco Melis†, Maura Pintor†, Matthew Jagielski*, Battista Biggio†,‡, Alina Oprea*, C | f5=3.2 Evasion Attacks: ℓ2 ball of radius ε) vs. minimum- distance adversarial examples. Maximum-conﬁdence attacks tend to transfer better as they are misclassiﬁed with highe | f6=not located in full text or linked supplement; coded unclear under the silence rule"
821fd5bed14d6d06c25fbf44123fd7be382f7b4e,Is Robustness the Cost of Accuracy? - A Comprehensive Study on the Robustness of 18 Deep Image Classification Models,European Conference on Computer Vision,2018,422,yes,yes,unclear,no,yes,unclear,"f1=full-text adjudication; no uniquely numbered table or section states the criterion | f2=2.3 Dataset: Misclassiﬁed images are excluded. We follow the set- ting in [15] to compute CLEVER scores for 100 out of the all 1,000 images, as CLEVER is relativel | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=18 Deep Image Classiﬁcation Models: transferability of adversarial examples between 306 pairs of models. Our extensive experimental results reveal several new insights: (1) linear scalin | f5=18 Deep Image Classiﬁcation Models: ℓ2 and ℓ∞distortion metrics scale linearly with the logarithm of classiﬁcation error; (2) model architecture is a more critical factor to robustness t | f6=not located in full text or linked supplement; coded unclear under the silence rule"
48640ef269ffeb3e19c961de2eeca027a30841d8,Adversarial Attack and Defense on Graph Data: A Survey,IEEE Transactions on Knowledge and Data Engineering,2018,399,unclear,unclear,unclear,unclear,unclear,unclear,f1=not located in full text or linked supplement; coded unclear under the silence rule | f2=not located in full text or linked supplement; coded unclear under the silence rule | f3=not located in full text or linked supplement; coded unclear under the silence rule | f4=not located in full text or linked supplement; coded unclear under the silence rule | f5=not located in full text or linked supplement; coded unclear under the silence rule | f6=not located in full text or linked supplement; coded unclear under the silence rule
