rank,paper_id,title,year,venue,citations,url,doi,arxiv,cites_seed_arxiv
1,4637f79ddfaf923ce569996ffa5b6cda1996faa1,Jailbreaking Black Box Large Language Models in Twenty Queries,2023,2025 IEEE Conference on Secure and Trustworthy Machine Learning (SaTML),1700,https://www.semanticscholar.org/paper/4637f79ddfaf923ce569996ffa5b6cda1996faa1,10.1109/SaTML64287.2025.00010,2310.08419,1611.02770
2,f78a911f516625d6b7b76a9a33c1eb14613341c4,Improving Transferability of Adversarial Examples With Input Diversity,2018,Computer Vision and Pattern Recognition,1506,https://www.semanticscholar.org/paper/f78a911f516625d6b7b76a9a33c1eb14613341c4,10.1109/CVPR.2019.00284,1803.06978,1611.02770
3,44d43bfbd23d55b1e7c4c4fd91fe101c0eaf1a06,Evading Defenses to Transferable Adversarial Examples by Translation-Invariant Attacks,2019,Computer Vision and Pattern Recognition,1151,https://www.semanticscholar.org/paper/44d43bfbd23d55b1e7c4c4fd91fe101c0eaf1a06,10.1109/CVPR.2019.00444,1904.02884,1602.02697;1611.02770
4,fb0568dcb546bbb4d7d1ed71ce395f4b66691003,Nesterov Accelerated Gradient and Scale Invariance for Adversarial Attacks,2019,International Conference on Learning Representations,831,https://www.semanticscholar.org/paper/fb0568dcb546bbb4d7d1ed71ce395f4b66691003,,1908.06281,1611.02770
5,7301d58eb8a750e44b7da5ab0266b134d1651237,Enhancing the Transferability of Adversarial Attacks through Variance Tuning,2021,Computer Vision and Pattern Recognition,607,https://www.semanticscholar.org/paper/7301d58eb8a750e44b7da5ab0266b134d1651237,10.1109/CVPR46437.2021.00196,2103.15571,1602.02697;1611.02770
6,4582e2350e4822834dcf266522690722dd4430d4,PRADA: Protecting Against DNN Model Stealing Attacks,2018,European Symposium on Security and Privacy,542,https://www.semanticscholar.org/paper/4582e2350e4822834dcf266522690722dd4430d4,10.1109/EuroSP.2019.00044,1805.02628,1602.02697
7,676e40050453ddeb1387f8314478c0ac3681a8c6,Improving Adversarial Robustness via Promoting Ensemble Diversity,2019,International Conference on Machine Learning,520,https://www.semanticscholar.org/paper/676e40050453ddeb1387f8314478c0ac3681a8c6,,1901.08846,1602.02697
8,17293cd36ee5e7ec37dcec1d5ab85f9b77ad65d5,Do Adversarially Robust ImageNet Models Transfer Better?,2020,Neural Information Processing Systems,501,https://www.semanticscholar.org/paper/17293cd36ee5e7ec37dcec1d5ab85f9b77ad65d5,,2007.08489,1602.02697
9,8bac2716cd208cb8041650a001ab72ba81b559cd,Why Do Adversarial Attacks Transfer? Explaining Transferability of Evasion and Poisoning Attacks,2018,USENIX Security Symposium,494,https://www.semanticscholar.org/paper/8bac2716cd208cb8041650a001ab72ba81b559cd,,,1602.02697;1611.02770
10,821fd5bed14d6d06c25fbf44123fd7be382f7b4e,Is Robustness the Cost of Accuracy? - A Comprehensive Study on the Robustness of 18 Deep Image Classification Models,2018,European Conference on Computer Vision,422,https://www.semanticscholar.org/paper/821fd5bed14d6d06c25fbf44123fd7be382f7b4e,10.1007/978-3-030-01258-8_39,1808.01688,1611.02770
11,48640ef269ffeb3e19c961de2eeca027a30841d8,Adversarial Attack and Defense on Graph Data: A Survey,2018,IEEE Transactions on Knowledge and Data Engineering,399,https://www.semanticscholar.org/paper/48640ef269ffeb3e19c961de2eeca027a30841d8,10.1109/TKDE.2022.3201243,1812.10528,1602.02697;1611.02770
12,8ecdbfe011b7189fa0ee49ffc4e42a93d728a371,On Evaluating Adversarial Robustness of Large Vision-Language Models,2023,Neural Information Processing Systems,398,https://www.semanticscholar.org/paper/8ecdbfe011b7189fa0ee49ffc4e42a93d728a371,10.48550/arXiv.2305.16934,2305.16934,1611.02770
13,2fb43a4c5cab8215d510fc585ca81fb5ee8a3abb,Skip Connections Matter: On the Transferability of Adversarial Examples Generated with ResNets,2020,International Conference on Learning Representations,374,https://www.semanticscholar.org/paper/2fb43a4c5cab8215d510fc585ca81fb5ee8a3abb,,2002.05990,1611.02770
14,27d2f8a0601ce4bd73339ddffc83977e858c5503,DPATCH: An Adversarial Patch Attack on Object Detectors,2018,SafeAI@AAAI,374,https://www.semanticscholar.org/paper/27d2f8a0601ce4bd73339ddffc83977e858c5503,,1806.02299,1602.02697
15,e3dacba4399fc66f31779060db730ea423f341d8,AdvHat: Real-World Adversarial Attack on ArcFace Face ID System,2019,International Conference on Pattern Recognition,370,https://www.semanticscholar.org/paper/e3dacba4399fc66f31779060db730ea423f341d8,10.1109/ICPR48806.2021.9412236,1908.08705,1602.02697
16,b18580c6746a47603955074931d4687e268781ea,Feature Importance-aware Transferable Adversarial Attacks,2021,IEEE International Conference on Computer Vision,344,https://www.semanticscholar.org/paper/b18580c6746a47603955074931d4687e268781ea,10.1109/ICCV48922.2021.00754,2107.14185,1611.02770
17,3636d3f0562f3ab5f5df68c1c9a23530c0fbce64,Parametric Noise Injection: Trainable Randomness to Improve Deep Neural Network Robustness Against Adversarial Attack,2018,Computer Vision and Pattern Recognition,332,https://www.semanticscholar.org/paper/3636d3f0562f3ab5f5df68c1c9a23530c0fbce64,10.1109/CVPR.2019.00068,1811.09310,1602.02697;1611.02770
18,7610bcc3444c824a25f5c3779c097a9bdd4c185a,A Survey on Safety-Critical Driving Scenario Generation—A Methodological Perspective,2022,IEEE transactions on intelligent transportation systems (Print),325,https://www.semanticscholar.org/paper/7610bcc3444c824a25f5c3779c097a9bdd4c185a,10.1109/TITS.2023.3259322,2202.02215,1602.02697
19,edabab811aaf44b7b626efe5278a32bddd3bb77f,Improving Black-box Adversarial Attacks with a Transfer-based Prior,2019,Neural Information Processing Systems,310,https://www.semanticscholar.org/paper/edabab811aaf44b7b626efe5278a32bddd3bb77f,,1906.06919,1602.02697;1611.02770
20,90dcaf5b7ded95f61666711aa94a59eae77bc304,Enhancing Adversarial Example Transferability With an Intermediate Level Attack,2019,IEEE International Conference on Computer Vision,305,https://www.semanticscholar.org/paper/90dcaf5b7ded95f61666711aa94a59eae77bc304,10.1109/ICCV.2019.00483,1907.10823,1602.02697;1611.02770
21,558f7fa8c8e909e7aa67b20d41ba5896b68dcf54,Admix: Enhancing the Transferability of Adversarial Attacks,2021,IEEE International Conference on Computer Vision,303,https://www.semanticscholar.org/paper/558f7fa8c8e909e7aa67b20d41ba5896b68dcf54,10.1109/ICCV48922.2021.01585,2102.00436,1602.02697;1611.02770
22,be4a4f7f65d397a4e07dc83b95da6b414e0634e2,Adversarial Examples that Fool both Computer Vision and Time-Limited Humans,2018,Neural Information Processing Systems,290,https://www.semanticscholar.org/paper/be4a4f7f65d397a4e07dc83b95da6b414e0634e2,,1802.08195,1602.02697;1611.02770
23,8680c075abfb7832ff1321b5f409f2a5e57570f2,Frequency Domain Model Augmentation for Adversarial Attack,2022,European Conference on Computer Vision,287,https://www.semanticscholar.org/paper/8680c075abfb7832ff1321b5f409f2a5e57570f2,10.48550/arXiv.2207.05382,2207.05382,1602.02697;1611.02770
24,43e51c1bfd69df518e2907f7a955e485985ba423,On the Robustness of Vision Transformers to Adversarial Examples,2021,IEEE International Conference on Computer Vision,284,https://www.semanticscholar.org/paper/43e51c1bfd69df518e2907f7a955e485985ba423,10.1109/ICCV48922.2021.00774,2104.02610,1602.02697;1611.02770
25,717425092f2e7a2a00c98e8e1778036e9b5a8b4e,NATTACK: Learning the Distributions of Adversarial Examples for an Improved Black-Box Attack on Deep Neural Networks,2019,International Conference on Machine Learning,276,https://www.semanticscholar.org/paper/717425092f2e7a2a00c98e8e1778036e9b5a8b4e,,1905.00441,1602.02697;1611.02770
26,7005fe514458b538b7516b41af5f5e1971154070,Adversarial vulnerability for any classifier,2018,Neural Information Processing Systems,273,https://www.semanticscholar.org/paper/7005fe514458b538b7516b41af5f5e1971154070,,1802.08686,1611.02770
27,287e82b08cc5b8c8aae03825b466fcb73860b0c4,Data-Free Model Extraction,2020,Computer Vision and Pattern Recognition,254,https://www.semanticscholar.org/paper/287e82b08cc5b8c8aae03825b466fcb73860b0c4,10.1109/CVPR46437.2021.00474,2011.14779,1602.02697
