paper_id,title,venue,year,citations,clean_accuracy_source_target_separate,transfer_denominator_clean_correct,conditions_on_source_attack_success,reports_absolute_counts,numeric_linf_or_l2_budget,artifacts_sufficient_to_recompute,evidence
4637f79ddfaf923ce569996ffa5b6cda1996faa1,Jailbreaking Black Box Large Language Models in Twenty Queries,2025 IEEE Conference on Secure and Trustworthy Machine Learning (SaTML),2023,1700,unclear,unclear,unclear,unclear,no,unclear,"f1=no_clean_baseline_event_defined_for_outcome; Section 4 Evaluation (p. 6); Tables 2-3, 5; The outcome is a judged jailbreak on harmful behaviors, not classification accuracy. The paper reports undefended direct JB% per model, but no clean-input baseline analogous to separate source/target clean accuracy is defined for this task. Recorded as a task-mapping limitation, not deficient reporting. | f2=unresolved_scope; Section 4 Evaluation (p. 6); Sections 4.2-4.3; All three groups are unclear because no target-clean-correct event exists for a jailbreak judge. Absence of image-classification clean filtering is not evidence of an explicit no. | f3=unresolved_scope; Table 3 caption (p. 6); Section 4.2 (p. 7); Section 4.3 (p. 7); Both Table 3 groups explicitly restrict transfer to source-successful jailbreaks (any_explicit_yes = true); the static-defense Table 5 group does not state whether unsuccessful undefended prompts are passed. Paper-level unclear arises from that unresolved scope, not from missing conditioning in the headline transfer table. | f4=partial_unique_reconstruction_gcg_denominator_unverified; Tables 2, 3 and 5; Section 4 Evaluation (p. 6); Section 4.2; No literal counts are printed. JB% is defined over 100 behaviors, so Table 2 and Table 5 integer percentages give counts k/100. Table 3 PAIR denominators are the Section 4.1 successes (GPT-4 48, Vicuna 88); with nearest-unit rounding every PAIR cell has a unique numerator (e.g., 71% -> 34/48, 52% -> 46/88) via survey/count_reconstruction.py. The GCG row's final-step denominator is not stated to equal Table 2's 56; if it did, cells would be unique (57% -> 32/56), but that identity is an assumption. Kept unclear. | f5=explicit_unconstrained_discrete_prompt_objective; Section 2 Eq. 2 (p. 3); Section 3; Section 4 Baselines (p. 6); The attack is defined as finding any prompt P such that the judge flags the response (Eq. 2), with no norm constraint; PAIR rewrites whole semantic prompts and GCG optimizes discrete suffix tokens. No L-infinity or L2 radius applies. This is an explicit methodological property of a text jailbreak task, not an omission of a budget the paper should have reported; report it in the non-image applicability stratum. | f6=released_outputs_do_not_match_published_run_hosted_targets_unverified; Section 4 Target LLMs (p. 6); Appendix H (p. 34); artifact_checks below; PAIR code is public (MIT) and JailbreakBench hosts per-behavior PAIR/GCG prompts and responses. But the hosted PAIR direct-attack counts (e.g., Vicuna 82/100 under jailbroken_llama_guard1, 69/100 under jailbroken; GPT-3.5 76 or 71) do not match Table 2 (88, 51), no PAIR transfer outcomes are hosted, and GCG transfer files cover 100 prompts rather than an identified source-success subset. Closed targets are dated hosted API versions whose continued availability and determinism were not verified. No sufficient per-example record for Table 3 is established; not a claim that the paper is irreproducible."
f78a911f516625d6b7b76a9a33c1eb14613341c4,Improving Transferability of Adversarial Examples With Input Diversity,Computer Vision and Pattern Recognition,2018,1506,unclear,unclear,unclear,unclear,unclear,unclear,"f1=complete_separate_clean_values_not_located; Sections 4.1-4.5; Tables 1-4; The joint-correct selection establishes correctness for the initial seven-model cohort but does not provide complete separate clean measurements for the added competition defenses/source ensemble. No explicit pooled-only reporting statement supports no. | f2=unresolved_scope; Sections 4.1,4.2,4.5; Three result groups have affirmative filtering evidence under the frozen rule; the competition group remains unresolved. Preserve any_explicit_yes=true rather than describing the whole paper as lacking clean filtering. | f3=unresolved_scope; Sections 4.2-4.5; Tables 1-4; Source success rates and target success rates are reported, but no reviewed passage explicitly defines retention or exclusion of source failures in transfer denominators. Do not infer no from the tables. | f4=exact_counts_not_established_for_all_results; Table 1, Figures 4-6, Table 4 and Sections 4.1-4.5; Table 1's 23.5% on a nominal 5,000 inputs admits counts 1,173 through 1,177 under nearest-tenth rounding even before denominator uncertainty. One-decimal percentages on 1,000 could uniquely recover counts only with confirmed denominator and aggregation. Graphs and defense averages do not supply exact counts for every result; no explicit paper-wide percentages-only statement warrants no. | f5=cw_radius_not_established; Section 3 norm definition; Sections 4.1,4.2,4.4,4.5; Gradient-sign experiments specify L-infinity radius 15 in pixel units; competition experiments give per-batch radii 4/255,8/255,12/255,16/255. The C&W paragraph specifies optimizer iterations, learning rate and confidence, but does not clearly establish a numerical L2/L-infinity radius for Table 2. Do not silently apply the gradient-sign radius to C&W or infer an explicit unbounded attack. | f6=transfer_evaluation_sufficiency_unestablished; Released README and attack.py at 10ffd9b9e94585b6a3b9d6858a9a929dc488fc02; main Section 4.1 model links; The accessible release provides a sample Inception-v3 generator and source checkpoint link, but the inspected files do not establish a complete original source-target evaluation path, selected example IDs or per-example clean/attacked outcomes. Public model references remain candidates, not verified sufficiency. No runtime was executed in this review."
44d43bfbd23d55b1e7c4c4fd91fe101c0eaf1a06,Evading Defenses to Transferable Adversarial Examples by Translation-Invariant Attacks,Computer Vision and Pattern Recognition,2019,1151,unclear,unclear,unclear,unclear,yes,unclear,"f1=separate_clean_values_not_located; Section 4.1; main Tables 1-5; appendix/CVF supplement Tables 6-12; Model names, attacked rates and white-box diagonals are given, but a complete set of separate clean accuracies on the evaluation population was not located. Loss surfaces in Figure 3 are not clean classification accuracies. Silence does not support no. | f2=unresolved_scope; Sections 4.1,4.3 and appendix/CVF supplement setup; The competition dataset size is explicit but not a rule excluding target-clean-incorrect images. No affirmative or negative denominator filtering statement established across the five groups. | f3=unresolved_scope; Sections 4.3-4.6 and supplement Tables 6-12; Target misclassification defines success, but the reviewed material does not explicitly specify source-failure retention or exclusion in the transfer denominator. The generator saving every input is not by itself evidence of the published evaluator's denominator. | f4=denominator_and_aggregation_not_fully_established; Section 4.1, Tables 1-12 and Figure 4; A one-decimal percentage on exactly 1,000 unaveraged evaluations can identify a unique count, so percentages are not automatically no. Here filtered denominators, randomized-defense aggregation and exact Figure 4 values are not completely established. No per-example clean/source/target outcome release was located in the inspected artifact. | f5=numeric_norm_budgets_cover_all_scopes; Section 3 Eq. 1, Section 4.1; appendix p. 11 / CVF supplement p. 1; Main experiments specify L-infinity epsilon=16 with [0,255] pixels. The normal-target supplement explicitly carries over attack settings. L2 Tables 9-12 explicitly use epsilon=10*sqrt(d), with d defined as input dimension: a dimension-normalized numerical radius, not merely a norm name. Record the formula as stated; runtime input dimensions and preprocessing still need verification before recomputation. | f6=target_evaluation_sufficiency_unestablished; Released README, attack_iter.py, attack_vgg16_mim.py, run_attack.sh, metadata.json and dataset README at c3ae1ba061ff19cd12a1345edf6fc13c1d26b002; Attack generation code, model definitions, dataset material and responsive source-checkpoint links are available. A validated original defense evaluation path and matching target checkpoints/outcomes were not established. Code availability and HTTP success do not by themselves establish executable recomputation of conditioning quantities."
fb0568dcb546bbb4d7d1ed71ce395f4b66691003,Nesterov Accelerated Gradient and Scale Invariance for Adversarial Attacks,International Conference on Learning Representations,2019,831,unclear,unclear,unclear,unclear,unclear,unclear,"f1=separate_clean_values_not_located; Section 4.1; Tables 1-4; Figure 2; Almost-correct wording supplies no separate numerical model clean accuracies. Attacked diagonals and loss diagnostics are not clean accuracies. Silence does not support no. | f2=unresolved_scope; Section 4.1, PDF p. 6; simple_eval.py; Almost correctly classified is not an exclusion rule. The evaluator does not load clean predictions, but prior dataset selection could still filter inputs; absent evaluator filtering alone does not establish published target-clean-error inclusion. | f3=unresolved_scope; Sections 4.3-4.6; simple_eval.py lines 138-158; The released evaluator explicitly retains inputs irrespective of source success. Its behavior is preserved as an artifact finding, not proof that every published result uses that path. Published-scope denominator coverage remains unresolved. | f4=denominator_and_aggregation_not_fully_established; Section 4.1; Tables 1-4; Figure 2; One-decimal rates could identify counts on exactly 1,000 unaveraged trials, but that denominator and aggregation policy are not established across all groups, including stochastic defenses and plotted ablations. Local survey-generated CSVs are not author-released outcomes. | f5=classic_baseline_budget_scope_unresolved; Sections 2.1,2.2,4.1,4.6; Eq. 4; Table 4; Main setup states L-infinity epsilon=16 in pixel units. C&W uses a distance-minimizing objective in Eq. 4; a numerical radius or explicit enforcement of the global radius for this baseline was not established. Under the all-result rule this remains unclear, not no; step size is not a perturbation radius. | f6=original_data_checkpoint_sufficiency_unverified; Released README and scripts at 4464fcd55b5f0a109f7c0190819856d449cc01b5; Attack generation and eight-model evaluation code link data and model downloads, but those contents were not verified. Original local data/model directories contain placeholders. Survey ports instead use SSA-derived images and converted weights, not verified original data/checkpoint bytes or runtime parity. Access failure does not establish absence."
7301d58eb8a750e44b7da5ab0266b134d1651237,Enhancing the Transferability of Adversarial Attacks through Variance Tuning,Computer Vision and Pattern Recognition,2021,607,unclear,unclear,unclear,unclear,yes,unclear,"f1=separate_clean_values_not_located; Section 4.1; Tables 1-4; Figures 3-5,7-9; The near-correct dataset description supplies no model-specific numerical clean accuracies for all source and target pipelines. Attacked diagonals are not clean accuracies. No separate complete set was located. | f2=unresolved_scope; Section 4.1 dataset description; basic evaluator and defense notes; Almost-correct wording does not explicitly exclude target-clean-incorrect inputs. An evaluator with no clean-prediction input does not establish whether the source dataset was prefiltered, and the basic path cannot establish all defense populations. | f3=unresolved_scope; Section 4.2; simple_eval.py lines 137-157; third_party/README.md; Released simple_eval.py explicitly retains source failures, but coverage of every published table, ensemble and defense path is not established. Preserve that affirmative code finding without converting unresolved published scopes to no. | f4=counts_and_aggregation_not_fully_established; Section 4.1; Tables 1-4; Figures 3-5,7-9; One-decimal rates on exactly 1,000 unaveraged trials may recover unique counts. Final denominators, stochastic-defense aggregation and exact plotted values are not established across all groups; no original per-example conditioning record was located. Survey-generated CSVs are not an author release. | f5=numeric_norm_budget_covers_reviewed_scopes; Section 2 norm definition; Section 4.1 hyperparameters; Section 4.6 and Appendix B; The paper specifies L-infinity and epsilon=16 for its gradient-sign experiments, with 10 steps and alpha=1.6. All inventoried variants and ablations retain this setup; beta controls the gradient-sampling neighborhood, not the final input-space radius. Released vmi_fgsm.py normalizes epsilon as 2*16/255 on [-1,1] inputs. No separately evaluated unbounded baseline was located. | f6=checkpoint_data_and_execution_sufficiency_unverified; Pinned root README, evaluator, attack and third_party materials; Executable-looking attack/evaluation sources and public folder listings for data and eight checkpoint names were located. Downloaded bytes, population identity, checkpoint loading and original-runtime execution were not verified. The local archive uses a PyTorch port and SSA-derived data/weights; those do not establish sufficiency or numerical parity of this original release."
4582e2350e4822834dcf266522690722dd4430d4,PRADA: Protecting Against DNN Model Stealing Attacks,European Symposium on Security and Privacy,2018,542,unclear,unclear,no,unclear,yes,unclear,"f1=separate_aligned_clean_values_not_established; Section IV-A(a,b), Figures 2-4 and Tables II-VII; Average target test accuracies are supplied, but separate source and target ground-truth clean accuracies for every seed-set configuration were not located. Substitute/target agreement, including macro-F-score, is not substitute accuracy against true labels. The presence of pooled target values alone does not establish an explicit claim that only pooled reporting exists. | f2=unresolved_scope; Section IV-A(a,b), PDF p. 6; Evaluation covers all attacker seeds, but target-ground-truth correctness of the seeds or any preselection policy is not established. The target model's predicted initial class is used in the targeted construction; predicted class is not proof of ground-truth correctness. | f3=all_scopes_explicit_no; Section IV-A(b), PDF p. 6, applied to Section IV-B-F; The stated transfer population comprises all attacker seed samples for both outcomes. Read literally as the evaluation population, this retains attempts regardless of source success rather than restricting the denominator to successful source attacks. This judgment is based on an affirmative full-population statement, not absence of filtering language or a white-box success percentage; implementation and variant aggregation remain unverified. | f4=averaged_rates_do_not_establish_all_exact_counts; Figure 2 caption, Table II, Sections IV-C-F; Rates include means over ten attacker sets, standard deviations, plotted curves and baseline-relative changes. Known seed counts and extraction-query totals do not supply all per-run numerators or the targeted variant aggregation. No per-example transfer output release was located; do not automatically convert percentages to no. | f5=numeric_norm_budget_covers_transfer_evaluations; Section III-B, Section IV-A(b), Table II caption and Section IV-F; FGSM and iterative variants are L-infinity bounded; IV-A declares epsilon=64/255 for transfer evaluations throughout, reinforced by Table II. Features are scaled to [-1,1]. Preserve the stated radius on that declared setup without silently assuming a raw-pixel conversion. The synthetic-training parameter lambda and measured L2 column are not replacement transfer budgets. | f6=defense_release_not_verified_transfer_recomputation; Paper p. 2 release statement; pinned README and src/main.py, src/model.py; Paper offers attack code on request and links an open-source defense. The public repository supplies a defense agent and serving wrapper requiring a user-provided architecture and model state. Original source/target checkpoint pairs, seed membership and transfer outcome records were not located. This does not establish a sufficient original transfer release; a bounded search is not proof that no other release exists."
676e40050453ddeb1387f8314478c0ac3681a8c6,Improving Adversarial Robustness via Promoting Ensemble Diversity,International Conference on Machine Learning,2019,520,yes,unclear,unclear,unclear,unclear,unclear,"f1=all_transfer_members_have_separate_clean_errors; Table 1 and Sections 4.2/4.4, pp. 6-8; Table 1 reports CIFAR-10 clean errors separately for all three members in each Figure 3 training setting: baseline 8.30%, 8.52%, 8.67%; ADP(2,0.5) 9.34%, 9.34%, 9.92%. The same members act as sources and targets. This establishes separate clean reporting, not attack-cohort alignment. | f2=unresolved_scope; Sections 4.1/4.4 and Figure 3; No explicit target-clean-correct denominator rule is stated for any of the eight transfer groups. The nominal 10,000 test examples and the separate detection experiment's 1,000 examples do not establish Figure 3 selection. | f3=unresolved_scope; Section 4.4 and Figure 3; No explicit successful-source restriction or retention of source failures is stated for the transfer heatmaps. Released full-test ensemble evaluation is not evidence of the member-transfer implementation. | f4=exact_transfer_denominators_and_counts_unestablished; Sections 4.1/4.4 and Figure 3; Heatmaps display fractions to two decimal places without exact transfer numerators or denominators. Dataset size is not an established heatmap denominator, and even assuming 10,000 would not uniquely reconstruct counts from this precision. No matching per-example records were located. | f5=radius_explicit_norm_not_explicitly_identified_for_transfer; Section 2.2, pp. 2-3; Sections 4.1/4.4, pp. 6-8; All Figure 3 attacks have epsilon=0.05 on [0,1]-scaled pixels. Section 2.2 gives gradient-sign updates and clip(x,epsilon), but calls this a clipping function without explicitly specifying its norm or the PGD initialization neighborhood's norm. These are consistent with L-infinity attacks, but the attack name and the ensemble-only code do not by themselves establish the reported member-transfer norm under the frozen rule. White-box C&W/EAD/JSMA scopes are not the reason for this judgment. | f6=checkpoint_access_verified_transfer_evaluator_correspondence_unestablished; Pinned public release README.md, test_cifar_iterative.py, utils.py and standard ADP checkpoint; Code and a readable three-member ADP checkpoint are accessible. The inspected iterative evaluator attacks and scores the averaged ensemble rather than source/target member pairs; no Figure 3 runner or matching per-example outcomes was located. A member-level adapter and configuration/provenance verification remain necessary before declaring a sufficient original transfer configuration. Baseline availability is not imposed as a requirement for an ADP-only configuration."
17293cd36ee5e7ec37dcec1d5ab85f9b77ad65d5,Do Adversarially Robust ImageNet Models Transfer Better?,Neural Information Processing Systems,2020,501,unclear,unclear,unclear,unclear,unclear,unclear,"f1=not_applicable_to_located_results; Sections 1-4; Appendix A.1, Tables 3-4; Appendix G; The paper reports ImageNet and downstream clean accuracies, but its source/target terminology refers to transfer-learning tasks rather than models in an attack-transfer experiment. Do not treat these as a yes for attack-pair reporting or a no for insufficient reporting. | f2=not_applicable_to_located_results; Sections 2-3; Appendix A.2; Appendices F-G; Downstream classification uses learned features or fine-tuned weights. There is no located attack-transfer denominator whose clean-correct restriction can be coded; this is not a missing-denominator judgment. | f3=not_applicable_to_located_results; Sections 2-4; Appendix E/Figure 10; No original cross-model attack-success population is evaluated. Adversarial training and a single-model attack illustration do not define a transfer denominator conditioned on source attack success. | f4=not_applicable_to_located_results; Table 1; Appendix A.2/Table 5; Appendix G/Tables 8-11; Dataset sizes, repeated-run clean accuracies and downstream AP concern different outcomes. No in-scope transfer rate exists for count reconstruction; no reporting deficiency is inferred. | f5=not_applicable_to_located_results; Equation 1; Appendix A.1/Tables 3-4; Appendix B/Table 6; Numerical L2 and L-infinity radii are explicitly reported for robust pretraining, but these are not budgets of a cross-model attack-transfer evaluation. Preserve this affirmative training detail without converting it into an in-scope yes or no. | f6=not_applicable_to_located_results; Abstract; Appendix A.4; author Hugging Face model card; The authors release pretrained models for transfer learning. The dated GitHub access failure does not prove artifact absence, and the accessible model collection does not supply an original attack-transfer configuration where none is reported. Do not count this as non-recomputable attack-transfer research."
8bac2716cd208cb8041650a001ab72ba81b559cd,Why Do Adversarial Attacks Transfer? Explaining Transferability of Evasion and Poisoning Attacks,USENIX Security Symposium,2018,494,unclear,unclear,unclear,unclear,unclear,unclear,"f1=target_clean_references_present_source_coverage_unestablished; Sections 5.1/5.2; Figures 7, 12, 16 and 21; The matrices provide separate target clean-error rows, which are useful positive reporting evidence. Separately trained surrogate models are not the same checkpoints as equally named target models; separate clean results for every surrogate and availability setting could not be established. Malware miss rates must also be distinguished from overall accuracy. | f2=unresolved_scope; Sections 5.1/5.2 and matrix captions; Dataset/split sizes and test-error terminology are stated, but an explicit denominator rule excluding or retaining target-clean mistakes was not located across the six groups. | f3=unresolved_scope; Algorithm 1; Sections 3.2/3.3 and 5; matrix captions; The optimizer returns an attack point, but its algorithm alone does not establish which attempted attacks enter the reported transfer denominator. No explicit retention or exclusion of source-attack failures is stated for the matrices. | f4=averaged_rounded_rates_do_not_establish_exact_counts; Section 5; Figures 7, 12, 16 and 21; Test sizes are reported, while matrix entries are rounded fractions and results use repeated splits. Multiplying a rounded repeated-run mean by a nominal single-run test size cannot uniquely recover the original numerators and denominators. No matching per-example records were located. | f5=mixed_attack_geometries_and_incomplete_l2_linf_coverage; Sections 3.2/3.3, 5.1.1, 5.1.2 and 5.2; MNIST evasion explicitly uses numerical L2 radii, on pixels scaled to [0,1]. Drebin explicitly uses L1 feature-insertion budgets, and poisoning reports fractions of injected training data. These are meaningful task-specific budgets, but complete affirmative coverage of the frozen L2/L-infinity field is not established; another norm or a poisoning fraction is not silently converted to an input-space L2/L-infinity radius. | f6=general_library_available_original_configuration_unverified; Pinned SecML README, transferability tutorial and PGD-LS implementation; Accessible SecML code directly cites this paper. Its transfer tutorial trains classifiers on synthetic two-dimensional blobs, not the published MNIST, Drebin or LFW configurations. No original experiment checkpoint/per-example bundle and corresponding evaluator was verified by the bounded search. A generic implementation or newly trained tutorial model does not establish original-result recomputability."
821fd5bed14d6d06c25fbf44123fd7be382f7b4e,Is Robustness the Cost of Accuracy? - A Comprehensive Study on the Robustness of 18 Deep Image Classification Models,European Conference on Computer Vision,2018,422,yes,unclear,no,unclear,unclear,yes,"f1=separate_benchmark_clean_accuracy_all_models; Table 1, p. 5; Separate top-1/top-5 benchmark clean accuracies are listed for all 18 models, each used as source and target. These are not necessarily accuracies on the filtered attack cohort. | f2=unresolved_scope; Sections 2.3, 2.4 and 3.4; released test_transferability.py; Paper wording establishes source-clean selection, not explicit target-clean selection. The released evaluator explicitly skips target-clean mistakes before incrementing img_no. Preserve this positive code evidence separately; paper-to-code correspondence for all panels remains unresolved. | f3=all_scopes_explicit_no; Section 3.4, p. 12; The paper explicitly includes successful and failed source attacks when computing transferability; the released evaluator also retains source failures. | f4=rounded_rates_without_pair_counts; Figures 3-5 and 8-10; Section 2.4; Nominal 1,000-image sample size does not determine surviving pair denominators. Rounded heatmaps do not establish unique original counts. Newly generated per-example outputs are not original published counts. | f5=incomplete_numerical_radius_coverage; Section 2.2; Figures 3-5 and 8-10; FGSM/I-FGSM numerical L-infinity budgets are explicit. C&W/EAD confidence kappa is not an L2/L-infinity radius; these minimum-distortion formulations do not supply an analogous stated numerical radius across all groups. | f6=original_code_checkpoints_and_data_executed_selected_configuration; Pinned release README, original model/attack/evaluator code; recomputation/su18_original/README.md; Downloaded and hashed released model/data archives, and executed unchanged TensorFlow 1.8 attack/model classes for FGSM Inception-v1 to Inception-v2, epsilon 0.1. This meets the existence criterion for a selected configuration, not full-paper replication or established historical seed/objective correspondence."
